scenario,model,episode_id,reward
fuel_depletion,CA,28,1.6000
fuel_depletion,CA,29,1.3000
fuel_depletion,CA,30,0.6000
fuel_depletion,SA,1,1.1000
fuel_depletion,SA,2,1.1000
fuel_depletion,SA,3,1.1000
fuel_depletion,SA,4,2.0000
fuel_depletion,SA,5,1.8000
fuel_depletion,SA,6,-0.4000
fuel_depletion,SA,7,1.6000
fuel_depletion,SA,8,1.1000
fuel_depletion,SA,9,0.6000
fuel_depletion,SA,10,0.3000
fuel_depletion,SA,11,1.6000
fuel_depletion,SA,12,1.6000
fuel_depletion,SA,13,-0.4000
fuel_depletion,SA,14,1.8000
fuel_depletion,SA,15,1.6000
fuel_depletion,SA,16,1.8000
fuel_depletion,SA,17,1.6000
fuel_depletion,SA,18,1.6000
fuel_depletion,SA,19,0.6000
fuel_depletion,SA,20,1.6000
fuel_depletion,SA,21,0.1000
fuel_depletion,SA,22,1.6000
fuel_depletion,SA,23,1.6000
fuel_depletion,SA,24,1.3000
fuel_depletion,SA,25,0.8000
fuel_depletion,SA,26,1.0000
fuel_depletion,SA,27,1.6000
fuel_depletion,SA,28,1.6000
fuel_depletion,SA,29,1.3000
fuel_depletion,SA,30,0.1000
random_terrain,CA,1,-114.6000
random_terrain,CA,2,-146.1000
random_terrain,CA,3,-149.8000
random_terrain,CA,4,-212.8000
random_terrain,CA,5,-94.5000
random_terrain,CA,6,-188.7000
random_terrain,CA,7,-199.1000
random_terrain,CA,8,-217.4000
random_terrain,CA,9,-195.1000
random_terrain,CA,10,-123.6000
random_terrain,CA,11,-111.7000
random_terrain,CA,12,-198.8000
random_terrain,CA,13,-203.4000
random_terrain,CA,14,1.4000
random_terrain,CA,15,-164.3000
random_terrain,CA,16,-199.9000
