#{"t_start": 1777575685.8766642, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-216.8,100,36.740169,0,0,0,0.0,0
-211.7,100,36.818352,0,0,0,0.0,0
-156.6,100,36.906083,0,0,0,0.0,0
-208.2,100,36.982692,0,0,0,0.0,0
-194.2,100,37.062374,0,0,0,0.0,0
-197.4,100,37.14769,0,0,0,0.0,0
-155.9,100,38.199951,0,0,0,0.0,0
-197.6,100,38.278971,0,0,0,0.0,0
-212.1,100,38.358202,0,0,0,0.0,0
-196.7,100,38.442096,0,0,0,0.0,0
-208.0,100,38.52319,0,0,0,0.0,0
-206.2,100,38.604825,0,0,0,0.0,0
-210.8,100,38.688329,0,0,0,0.0,0
-212.7,100,38.760255,0,0,0,0.0,0
-203.2,100,38.844311,0,0,0,0.0,0
-185.5,100,38.919723,0,0,0,0.0,0
-202.4,100,39.000304,0,0,0,0.0,0
-182.6,100,39.079497,0,0,0,0.0,0
-207.8,100,39.158491,0,0,0,0.0,0
2.0,100,39.244617,0,0,0,0.0,0
-202.1,100,39.328884,0,0,0,0.0,0
-200.3,100,39.421499,0,0,0,0.0,0
-2.4,100,39.522925,0,0,0,0.0,0
-205.8,100,39.602221,0,0,0,0.0,0
-227.4,100,39.681437,0,0,0,0.0,0
-206.0,100,39.756831,0,0,0,0.0,0
-196.5,100,40.829615,0,0,0,0.0,0
-195.3,100,40.908449,0,0,0,0.0,0
-207.3,100,40.986104,0,0,0,0.0,0
-1.2,100,41.068774,0,0,0,0.0,0
-206.4,100,41.140033,0,0,0,0.0,0
-183.2,100,41.236197,0,0,0,0.0,0
-0.8,100,41.322429,0,0,0,0.0,0
-203.8,100,41.398002,0,0,0,0.0,0
-208.4,100,41.46632,0,0,0,0.0,0
-195.9,100,41.546156,0,0,0,0.0,0
-199.0,100,41.636153,0,0,0,0.0,0
-169.5,100,41.720084,0,0,0,0.0,0
-221.2,100,41.817796,0,0,0,0.0,0
-208.6,100,41.906065,0,0,0,0.0,0
-226.8,100,43.331032,2,0,0,2.0,0
-208.4,100,43.412699,0,0,0,0.0,0
-226.2,100,43.497612,0,0,0,0.0,0
-191.2,100,43.581615,0,0,0,0.0,0
-177.1,100,43.6709,0,0,0,0.0,0
-205.4,100,43.75217,0,0,0,0.0,0
-214.3,100,43.846008,0,0,0,0.0,0
-204.5,100,45.040432,0,0,0,0.0,0
-222.4,100,45.126088,0,0,0,0.0,0
-207.1,100,45.202425,0,0,0,0.0,0
-208.3,100,45.300951,0,0,0,0.0,0
-202.0,100,45.388199,0,0,0,0.0,0
-184.6,100,45.471699,0,0,0,0.0,0
-213.0,100,45.552811,0,0,0,0.0,0
-211.0,100,45.635878,0,0,0,0.0,0
-196.7,100,45.711718,0,0,0,0.0,0
-196.6,100,45.784836,0,0,0,0.0,0
-215.5,100,45.864203,0,0,0,0.0,0
-192.5,100,45.944267,0,0,0,0.0,0
-192.1,100,46.010214,0,0,0,0.0,0
-154.9,100,46.109142,0,0,0,0.0,0
-193.8,100,46.185882,0,0,0,0.0,0
-49.1,100,46.285924,0,0,0,0.0,0
-155.6,100,46.361449,0,0,0,0.0,0
-201.8,100,46.457798,0,0,0,0.0,0
-208.6,100,46.535988,0,0,0,0.0,0
1.3,100,46.627655,0,0,0,0.0,0
-87.7,100,47.707239,0,0,0,0.0,0
-212.4,100,47.796855,0,0,0,0.0,0
-218.1,100,47.879065,0,0,0,0.0,0
-205.2,100,47.962087,0,0,0,0.0,0
-222.4,100,48.036331,0,0,0,0.0,0
-214.5,100,48.127396,0,0,0,0.0,0
-194.0,100,48.206071,0,0,0,0.0,0
-196.9,100,48.282976,0,0,0,0.0,0
-227.7,100,48.358111,0,0,0,0.0,0
-198.9,100,48.439262,0,0,0,0.0,0
-182.7,100,48.519222,0,0,0,0.0,0
-229.5,100,48.60481,0,0,0,0.0,0
-209.0,100,48.686997,0,0,0,0.0,0
-186.2,100,48.780663,0,0,0,0.0,0
-122.7,100,48.867027,0,0,0,0.0,0
-95.5,100,48.952061,0,0,0,0.0,0
-154.8,100,49.036016,0,0,0,0.0,0
-183.7,100,49.125335,0,0,0,0.0,0
-217.8,100,49.209296,0,0,0,0.0,0
-207.3,100,49.295281,0,0,0,0.0,0
-112.4,100,49.389625,0,0,0,0.0,0
-198.1,100,50.522841,0,0,0,0.0,0
-209.6,100,50.608603,0,0,0,0.0,0
2.0,100,50.696422,0,0,0,0.0,0
-119.3,100,50.778948,0,0,0,0.0,0
-203.9,100,50.856506,0,0,0,0.0,0
-202.6,100,50.936853,0,0,0,0.0,0
-73.7,100,51.018018,0,0,0,0.0,0
1.0,100,51.112993,0,0,0,0.0,0
-203.2,100,51.196515,0,0,0,0.0,0
-163.7,100,51.278866,0,0,0,0.0,0
-183.6,100,51.368452,0,0,0,0.0,0
-198.1,100,51.449399,0,0,0,0.0,0
-175.0,100,51.538645,0,0,0,0.0,0
-218.0,100,51.619229,0,0,0,0.0,0
-204.7,100,51.702243,0,0,0,0.0,0
-126.5,100,51.794725,0,0,0,0.0,0
-202.9,100,51.857202,0,0,0,0.0,0
-212.8,100,51.958241,0,0,0,0.0,0
-216.9,100,52.038045,0,0,0,0.0,0
-212.7,100,52.113704,0,0,0,0.0,0
-205.0,100,53.19327,0,0,0,0.0,0
-202.4,100,53.26967,0,0,0,0.0,0
-175.7,100,53.352362,0,0,0,0.0,0
-226.4,100,53.428721,0,0,0,0.0,0
-5.3,100,53.522345,0,0,0,0.0,0
-202.6,100,53.60426,0,0,0,0.0,0
-204.1,100,53.686228,0,0,0,0.0,0
-211.3,100,53.766387,0,0,0,0.0,0
-188.9,100,53.841225,8,0,0,1.0,1
-212.5,100,53.928754,0,0,0,0.0,0
-206.0,100,54.01251,0,0,0,0.0,0
-215.1,100,54.101603,0,0,0,0.0,0
-206.0,100,54.188375,0,0,0,0.0,0
-216.6,100,54.2703,0,0,0,0.0,0
-121.5,100,54.368211,0,0,0,0.0,0
-208.4,100,54.452204,0,0,0,0.0,0
-203.3,100,54.532962,0,0,0,0.0,0
-212.1,100,54.622721,0,0,0,0.0,0
-175.0,100,54.709515,0,0,0,0.0,0
-211.6,100,54.805643,0,0,0,0.0,0
-214.7,100,54.896114,0,0,0,0.0,0
-223.3,100,56.006417,0,0,0,0.0,0
-192.8,100,56.096167,0,0,0,0.0,0
-199.6,100,56.171204,0,0,0,0.0,0
-90.5,100,56.262015,0,0,0,0.0,0
-210.8,100,56.335863,0,0,0,0.0,0
-213.6,100,56.412403,0,0,0,0.0,0
-214.5,100,56.502102,0,0,0,0.0,0
-100.1,100,56.594722,0,0,0,0.0,0
-206.4,100,56.666371,0,0,0,0.0,0
-205.8,100,56.760759,0,0,0,0.0,0
1.4,100,56.844275,0,0,0,0.0,0
-201.8,100,58.186269,0,0,0,0.0,0
-216.8,100,58.260669,0,0,0,0.0,0
-68.5,100,58.337876,0,0,0,0.0,0
2.0,100,58.432876,0,0,0,0.0,0
-122.8,100,58.512407,0,0,0,0.0,0
-188.0,100,58.603267,0,0,0,0.0,0
-189.5,100,58.682769,0,0,0,0.0,0
-201.3,100,58.752988,0,0,0,0.0,0
-203.7,100,58.835864,0,0,0,0.0,0
-219.1,100,59.926196,0,0,0,0.0,0
-215.1,100,60.012892,0,0,0,0.0,0
-98.5,100,60.107999,0,0,0,0.0,0
-217.6,100,60.202163,0,0,0,0.0,0
-211.3,100,60.287232,0,0,0,0.0,0
-208.2,100,60.364387,0,0,0,0.0,0
-230.5,100,60.449636,0,0,0,0.0,0
-211.5,100,60.535965,0,0,0,0.0,0
-199.7,100,60.617751,0,0,0,0.0,0
-197.0,100,60.700315,0,0,0,0.0,0
-211.6,100,60.786163,0,0,0,0.0,0
-229.9,100,60.857115,0,0,0,0.0,0
-216.5,100,60.936101,0,0,0,0.0,0
-204.9,100,61.010726,0,0,0,0.0,0
-196.5,100,61.090527,0,0,0,0.0,0
-196.9,100,61.177115,0,0,0,0.0,0
-9.7,100,61.26007,0,0,0,0.0,0
-198.3,100,61.336268,0,0,0,0.0,0
-211.4,100,61.414423,0,0,0,0.0,0
1.0,100,61.50461,0,0,0,0.0,0
-203.4,100,61.588086,0,0,0,0.0,0
-216.4,100,62.653073,0,0,0,0.0,0
-195.5,100,62.734599,0,0,0,0.0,0
-201.2,100,62.815936,0,0,0,0.0,0
-189.9,100,62.893417,0,0,0,0.0,0
-175.2,100,62.988094,0,0,0,0.0,0
-42.6,100,63.075888,0,0,0,0.0,0
-195.3,100,63.152339,0,0,0,0.0,0
-1.9,100,63.240401,0,0,0,0.0,0
-213.1,100,63.320958,0,0,0,0.0,0
1.4,100,63.398414,0,0,0,0.0,0
-132.8,100,63.487402,0,0,0,0.0,0
-201.6,100,63.574253,0,0,0,0.0,0
-166.0,100,63.653732,0,0,0,0.0,0
-198.6,100,63.748933,0,0,0,0.0,0
-203.9,100,63.829501,0,0,0,0.0,0
-214.5,100,63.90822,0,0,0,0.0,0
-198.3,100,63.989408,0,0,0,0.0,0
-198.4,100,64.069049,0,0,0,0.0,0
-210.5,100,64.161212,0,0,0,0.0,0
-212.2,100,64.247131,0,0,0,0.0,0
-199.4,100,65.418284,1,0,0,4.0,0
-197.0,100,65.508364,0,0,0,0.0,0
-191.4,100,65.586122,0,0,0,0.0,0
-203.0,100,65.672965,0,0,0,0.0,0
-213.9,100,65.750715,0,0,0,0.0,0
-185.9,100,65.82891,0,0,0,0.0,0
-175.5,100,65.907911,0,0,0,0.0,0
-208.7,100,65.9921,0,0,0,0.0,0
-177.9,100,66.080739,0,0,0,0.0,0
-196.3,100,66.162256,0,0,0,0.0,0
-210.5,100,66.253197,0,0,0,0.0,0
-124.5,100,66.343745,0,0,0,0.0,0
-192.5,100,66.42136,0,0,0,0.0,0
-207.0,100,66.502228,0,0,0,0.0,0
1.8,100,66.588078,0,0,0,0.0,0
-212.8,100,66.676723,0,0,0,0.0,0
-212.1,100,66.76902,0,0,0,0.0,0
-210.8,100,66.850238,0,0,0,0.0,0
-197.5,100,66.928859,0,0,0,0.0,0
-209.0,100,67.010023,0,0,0,0.0,0
-148.6,100,67.100138,0,0,0,0.0,0
-208.7,100,68.202161,0,0,0,0.0,0
-205.8,100,68.281093,0,0,0,0.0,0
-216.1,100,68.360093,0,0,0,0.0,0
-209.3,100,68.437159,0,0,0,0.0,0
-209.7,100,68.515187,0,0,0,0.0,0
-215.7,100,68.599041,0,0,0,0.0,0
-176.0,100,68.680853,0,0,0,0.0,0
-194.0,100,68.764,0,0,0,0.0,0
-184.7,100,68.837212,0,0,0,0.0,0
1.0,100,68.935872,0,0,0,0.0,0
-197.4,100,69.004181,0,0,0,0.0,0
-195.4,100,69.095968,0,0,0,0.0,0
-208.3,100,69.176203,0,0,0,0.0,0
-216.6,100,69.255893,0,0,0,0.0,0
-212.0,100,69.336339,0,0,0,0.0,0
-208.4,100,69.414042,0,0,0,0.0,0
-210.3,100,69.50221,0,0,0,0.0,0
-23.3,100,69.602534,0,0,0,0.0,0
-84.9,100,69.687284,0,0,0,0.0,0
-197.2,100,69.765852,0,0,0,0.0,0
-198.0,100,70.936041,0,0,0,0.0,0
-210.3,100,71.00721,0,0,0,0.0,0
-212.0,100,71.101339,0,0,0,0.0,0
-196.8,100,71.19679,0,0,0,0.0,0
-97.5,100,71.307898,0,0,0,0.0,0
-194.0,100,71.405768,0,0,0,0.0,0
-212.6,100,71.503662,0,0,0,0.0,0
-212.8,100,71.600152,0,0,0,0.0,0
-208.2,100,71.682461,0,0,0,0.0,0
-155.6,100,73.103409,0,0,0,0.0,0
-199.0,100,73.194002,0,0,0,0.0,0
-198.1,100,73.281446,0,0,0,0.0,0
2.0,100,73.380398,0,0,0,0.0,0
-197.6,100,73.476152,0,0,0,0.0,0
-207.4,100,73.568695,0,0,0,0.0,0
-200.3,100,73.659327,0,0,0,0.0,0
-197.3,100,73.742218,0,0,0,0.0,0
-204.6,100,73.82885,0,0,0,0.0,0
-192.1,100,73.904763,0,0,0,0.0,0
-213.7,100,73.992503,0,0,0,0.0,0
-70.1,100,74.081069,0,0,0,0.0,0
-197.7,100,75.266954,0,0,0,0.0,0
-191.4,100,75.368775,0,0,0,0.0,0
-184.9,100,75.458347,0,0,0,0.0,0
-207.9,100,75.536052,0,0,0,0.0,0
-184.6,100,75.65234,0,0,0,0.0,0
-206.9,100,75.742311,0,0,0,0.0,0
-182.0,100,75.832819,0,0,0,0.0,0
2.0,100,75.915554,0,0,0,0.0,0
-210.4,100,76.005809,0,0,0,0.0,0
-203.4,100,76.098048,0,0,0,0.0,0
-221.3,100,76.180514,0,0,0,0.0,0
-214.7,100,76.266187,0,0,0,0.0,0
-211.9,100,76.343586,0,0,0,0.0,0
-191.3,100,76.429269,5,0,0,3.0,1
-205.8,100,76.512663,0,0,0,0.0,0
-202.0,100,76.592028,0,0,0,0.0,0
-174.8,100,76.671828,0,0,0,0.0,0
-208.7,100,76.753672,0,0,0,0.0,0
1.0,100,76.852138,0,0,0,0.0,0
-214.5,100,76.936126,0,0,0,0.0,0
-219.0,100,78.052418,0,0,0,0.0,0
-203.4,100,78.12903,0,0,0,0.0,0
-217.3,100,78.215565,0,0,0,0.0,0
-195.3,100,78.295681,0,0,0,0.0,0
-217.7,100,78.378714,0,0,0,0.0,0
-158.9,100,78.472361,0,0,0,0.0,0
-197.0,100,78.553274,0,0,0,0.0,0
2.0,100,78.652333,0,0,0,0.0,0
-210.4,100,78.739009,0,0,0,0.0,0
-204.3,100,78.819784,0,0,0,0.0,0
-207.4,100,78.904127,0,0,0,0.0,0
-219.7,100,78.979613,0,0,0,0.0,0
-189.3,100,79.064724,0,0,0,0.0,0
-207.3,100,79.147449,0,0,0,0.0,0
-195.0,100,79.228861,0,0,0,0.0,0
-210.8,100,79.312327,0,0,0,0.0,0
-194.5,100,79.392168,0,0,0,0.0,0
-179.6,100,79.475913,0,0,0,0.0,0
-214.6,100,79.55635,0,0,0,0.0,0
-106.5,100,79.648458,0,0,0,0.0,0
-215.1,100,80.818137,0,0,0,0.0,0
-196.0,100,80.900092,0,0,0,0.0,0
-171.7,100,80.994952,0,0,0,0.0,0
-206.0,100,81.078942,0,0,0,0.0,0
-144.4,100,81.171707,0,0,0,0.0,0
-214.2,100,81.252349,0,0,0,0.0,0
-206.1,100,81.31615,0,0,0,0.0,0
-209.7,100,81.412939,0,0,0,0.0,0
-0.6,100,81.504444,0,0,0,0.0,0
-44.6,100,81.597545,0,0,0,0.0,0
-195.6,100,81.676372,0,0,0,0.0,0
-157.3,100,81.763862,0,0,0,0.0,0
-189.9,100,81.852512,0,0,0,0.0,0
-202.8,100,81.928678,0,0,0,0.0,0
-196.2,100,82.012401,0,0,0,0.0,0
-200.5,100,82.091446,0,0,0,0.0,0
-27.6,100,82.190108,0,0,0,0.0,0
-212.1,100,82.271573,0,0,0,0.0,0
-151.5,100,82.365617,0,0,0,0.0,0
-213.2,100,82.449961,0,0,0,0.0,0
-198.2,100,82.528957,0,0,0,0.0,0
