#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-183.8,100,50.485944,0,0,0,0.0,0
-80.9,100,50.576262,0,0,0,0.0,0
-21.0,100,50.667823,0,0,0,0.0,0
-22.8,100,50.762078,0,0,0,0.0,0
-177.7,100,50.853637,0,0,0,0.0,0
-66.6,100,50.936608,0,0,0,0.0,0
-199.5,100,52.033706,0,0,0,0.0,0
-155.5,100,52.126299,0,0,0,0.0,0
-152.0,100,52.20914,0,0,0,0.0,0
-166.7,100,52.293077,0,0,0,0.0,0
-68.2,100,52.380667,0,0,0,0.0,0
-205.8,100,52.466065,0,0,0,0.0,0
1.3,100,52.560043,0,0,0,0.0,0
-199.0,100,52.644483,0,0,0,0.0,0
-172.4,100,52.724114,0,0,0,0.0,0
2.0,100,52.815789,0,0,0,0.0,0
-215.0,100,52.900815,0,0,0,0.0,0
-38.2,100,52.992752,0,0,0,0.0,0
-18.7,100,53.086342,0,0,0,0.0,0
-37.7,100,53.167335,0,0,0,0.0,0
-199.8,100,53.262363,0,0,0,0.0,0
-41.1,100,53.350096,0,0,0,0.0,0
-39.5,100,53.442863,0,0,0,0.0,0
-119.8,100,53.534257,0,0,0,0.0,0
-9.7,100,53.61611,0,0,0,0.0,0
-204.3,100,53.706899,0,0,0,0.0,0
-17.1,100,54.779133,0,0,0,0.0,0
-50.3,100,54.874718,0,0,0,0.0,0
-142.6,100,54.9968,0,0,0,0.0,0
1.6,100,55.101857,0,0,0,0.0,0
-39.7,100,55.199774,0,0,0,0.0,0
-73.7,100,55.306641,0,0,0,0.0,0
-178.7,100,55.392568,0,0,0,0.0,0
-55.1,100,55.492558,0,0,0,0.0,0
-174.0,100,55.567764,0,0,0,0.0,0
-186.5,100,55.666072,0,0,0,0.0,0
-160.5,100,55.755687,0,0,0,0.0,0
-86.1,100,55.850066,0,0,0,0.0,0
0.2,100,55.935886,0,0,0,0.0,0
-69.1,100,56.025017,0,0,0,0.0,0
-160.1,100,56.126487,0,0,0,0.0,0
-90.2,100,56.216498,0,0,0,0.0,0
2.0,100,56.312299,0,0,0,0.0,0
-200.3,100,56.393651,0,0,0,0.0,0
-40.2,100,56.488561,0,0,0,0.0,0
-1.7,100,56.590165,0,0,0,0.0,0
-1.9,100,56.675915,0,0,0,0.0,0
-33.7,100,57.762032,0,0,0,0.0,0
-185.3,100,57.846589,0,0,0,0.0,0
2.0,100,57.9512,0,0,0,0.0,0
0.7,100,58.045119,0,0,0,0.0,0
-3.2,100,58.149666,0,0,0,0.0,0
-209.4,100,58.239579,0,0,0,0.0,0
-2.7,100,58.330722,0,0,0,0.0,0
1.6,100,58.433189,0,0,0,0.0,0
-43.9,100,58.520594,0,0,0,0.0,0
-186.2,100,58.61796,0,0,0,0.0,0
-0.5,100,58.738053,0,0,0,0.0,0
-137.5,100,58.837991,0,0,0,0.0,0
-7.3,100,58.94293,0,0,0,0.0,0
-158.6,100,59.029026,0,0,0,0.0,0
-15.4,100,59.133837,0,0,0,0.0,0
-29.2,100,59.227877,0,0,0,0.0,0
-4.3,100,59.332535,0,0,0,0.0,0
-0.3,100,59.431629,0,0,0,0.0,0
-201.5,100,59.528251,0,0,0,0.0,0
-200.0,100,59.611631,0,0,0,0.0,0
-54.2,100,60.803762,0,0,0,0.0,0
2.0,100,60.900039,0,0,0,0.0,0
-204.9,100,60.97798,0,0,0,0.0,0
-17.8,100,61.071724,0,0,0,0.0,0
-15.9,100,61.165791,0,0,0,0.0,0
-33.7,100,61.266067,0,0,0,0.0,0
0.4,100,61.362612,0,0,0,0.0,0
-165.0,100,61.449727,0,0,0,0.0,0
-58.2,100,61.544054,0,0,0,0.0,0
-38.6,100,61.625038,0,0,0,0.0,0
-54.8,100,61.735069,0,0,0,0.0,0
-181.7,100,61.820228,0,0,0,0.0,0
-14.8,100,61.915882,0,0,0,0.0,0
-81.4,100,62.016178,0,0,0,0.0,0
-66.4,100,62.118166,0,0,0,0.0,0
1.8,100,62.211562,0,0,0,0.0,0
-227.8,100,62.299651,0,0,0,0.0,0
2.0,100,62.394705,0,0,0,0.0,0
-114.7,100,62.488307,0,0,0,0.0,0
-114.7,100,62.579799,0,0,0,0.0,0
-33.6,100,62.666759,0,0,0,0.0,0
-79.9,100,63.766208,0,0,0,0.0,0
-229.3,100,63.855325,0,0,0,0.0,0
-80.6,100,63.960098,0,0,0,0.0,0
-1.9,100,64.04984,0,0,0,0.0,0
-153.2,100,64.14247,0,0,0,0.0,0
-129.8,100,64.235717,0,0,0,0.0,0
-187.2,100,64.322015,0,0,0,0.0,0
1.6,100,64.416165,0,0,0,0.0,0
-213.7,100,64.503392,0,0,0,0.0,0
-179.6,100,64.588725,0,0,0,0.0,0
1.8,100,64.679032,0,0,0,0.0,0
-200.5,100,66.267603,0,0,0,0.0,0
2.0,100,66.366103,0,0,0,0.0,0
-188.3,100,66.449972,0,0,0,0.0,0
2.0,100,66.548168,0,0,0,0.0,0
-75.2,100,66.646291,0,0,0,0.0,0
-215.4,100,66.736617,0,0,0,0.0,0
-218.1,100,66.822146,0,0,0,0.0,0
1.8,100,66.901511,0,0,0,0.0,0
